ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; School Type [Public School] (All Years: 2018-19): 1-Regular school 2-Special education school; Grade 12 offered [Public School] (All Years: 2018-19): Yes

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2018-19,Web Site URL [Public School] 2018-19,Phone Number [Public School] 2018-19,School Type [Public School] 2018-19,Grade 12 offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Location City [Public School] 2018-19
SALEM CAMPUS,NEW JERSEY,NJ ,Salem County,http://SCSSSD.ORG,8567690101,2-Special education school,1-Yes,38,27,11,1,="0",18,12,7,="0",="0",7,WOODSTOWN
SALEM COMMUNITY HIGH SCHOOL,Illinois,IL ,Marion County,†,6185480727,1-Regular school,1-Yes,646,308,338,18,†,608,2,9,8,1,306,Salem
SALEM HIGH,Virginia,VA ,Salem city,http://salem.k12.va.us/shs/,5403872437,1-Regular school,1-Yes,1278,667,611,60,1,971,153,61,31,1,389,Salem
SALEM HIGH,Massachusetts,MA ,Essex County,http://spssalemhs.salemk12.org/Pages/index,9787401123,1-Regular school,1-Yes,916,501,415,42,†,370,62,413,28,1,–,Salem
SALEM HIGH,Virginia,VA ,Virginia Beach city,†,7576485650,1-Regular school,1-Yes,1757,832,925,192,14,658,530,188,169,6,615,Virginia Beach
SALEM HIGH SCHOOL,New Jersey,NJ ,Salem County,†,8569353900,1-Regular school,1-Yes,374,186,188,3,†,107,211,50,2,1,227,SALEM
SALEM HIGH SCHOOL,Michigan,MI ,Wayne County,http://www.pccs.k12.mi.us,7344162800,1-Regular school,1-Yes,2016,981,1035,77,4,1314,187,76,352,6,352,CANTON
SALEM HIGH SCHOOL,Georgia,GA ,Rockdale County,http://shs.rockdaleschools.org,7709290176,1-Regular school,1-Yes,1185,600,585,30,1,68,966,104,16,="0",786,Conyers
SALEM HIGH SCHOOL,New York,NY ,Washington County,http://www.salemcsd.org,5188547600,1-Regular school,1-Yes,252,124,128,2,="0",234,4,11,1,="0",123,SALEM
SALEM HIGH SCHOOL,New Hampshire,NH ,Rockingham County,http://www.sau57.org/shs,6038937069,1-Regular school,1-Yes,1160,589,571,17,†,977,17,105,43,1,87,Salem
SALEM HIGH SCHOOL,Ohio,OH ,Columbiana County,†,3303328905,1-Regular school,1-Yes,667,351,316,7,="0",628,7,24,1,="0",277,Salem
SALEM HIGH SCHOOL,Arkansas,AR ,Fulton County,http://www.salemschools.net,8708953293,1-Regular school,1-Yes,388,203,185,15,†,352,3,13,4,1,231,SALEM
SALEM HIGH SCHOOL,Indiana,IN ,Washington County,†,8128833904,1-Regular school,1-Yes,567,292,275,5,†,544,5,6,7,†,259,Salem
SALEM HILLS HIGH,Utah,UT ,Utah County,http://shhs.nebo.edu/,8014233200,1-Regular school,1-Yes,1387,718,669,29,6,1248,11,84,8,1,276,SALEM
SALEM PREP HIGH SCHOOL,Massachusetts,MA ,Essex County,http://www.salemk12.org,9787401171,1-Regular school,1-Yes,22,14,8,†,†,14,†,7,1,†,–,Salem
SALEM SR. HIGH,Missouri,MO ,Dent County,http://www.salemr80.org,5737296642,1-Regular school,1-Yes,592,299,293,14,†,552,2,18,1,5,589,SALEM
SALIDA HIGH SCHOOL,Colorado,CO ,Chaffee County,http://www.salidaschools.com,7195305400,1-Regular school,1-Yes,378,183,195,16,†,308,1,45,5,3,100,SALIDA
SALINA HIGH CENTRAL,Kansas,KS ,Saline County,http://usd305.com/central,7853093500,1-Regular school,1-Yes,1070,560,510,118,2,674,51,206,16,3,607,Salina
SALINA HIGH SOUTH,Kansas,KS ,Saline County,http://usd305.com/south,7853093700,1-Regular school,1-Yes,1041,502,539,84,†,632,25,262,37,1,564,Salina
SALINA HS,Oklahoma,OK ,Mayes County,http://www.salinawildcats.org,9184345347,1-Regular school,1-Yes,254,137,117,9,†,76,1,3,†,165,186,Salina
SALINAS HIGH,California,CA ,Monterey County,http://www.salinasuhsd.org/domain/16,8317967400,1-Regular school,1-Yes,2661,1340,1321,38,9,578,36,1896,99,5,1439,Salinas
SALINE HIGH SCHOOL,Louisiana,LA ,Bienville Parish,†,3185763215,1-Regular school,1-Yes,373,172,201,8,†,280,76,8,†,1,110,Saline
SALINE HIGH SCHOOL,Michigan,MI ,Washtenaw County,http://www.salineschools.org,7344014201,1-Regular school,1-Yes,1774,955,819,47,3,1545,38,44,84,13,168,SALINE
SALISBURY HIGH,Missouri,MO ,Chariton County,http://www.salisbury.k12.mo.us,6603886442,1-Regular school,1-Yes,246,122,124,2,†,229,10,5,†,†,94,SALISBURY
SALISBURY HIGH,North Carolina,NC ,Rowan County,http://shs.rss.k12.nc.us,7046361221,1-Regular school,1-Yes,899,459,440,29,="0",233,391,233,12,1,553,Salisbury
SALISBURY SHS,Pennsylvania,PA ,Lehigh County,†,6107974107,1-Regular school,1-Yes,543,288,255,34,1,391,16,81,19,1,134,Allentown
SALISBURY-ELK LICK JSHS,Pennsylvania,PA ,Somerset County,http://www.selsd.com,8146622741,1-Regular school,1-Yes,109,55,54,2,="0",107,="0",="0",="0",="0",53,Salisbury
SALLISAW HS,Oklahoma,OK ,Sequoyah County,http://www.sallisawps.org,9187757761,1-Regular school,1-Yes,585,316,269,11,1,284,14,47,10,218,424,Sallisaw
SALMEN HIGH SCHOOL,Louisiana,LA ,St. Tammany Parish,†,9856437359,1-Regular school,1-Yes,935,496,439,18,1,277,561,51,24,3,597,Slidell
SALMON JR/SR HIGH SCHOOL,Idaho,ID ,Lemhi County,†,2087562415,1-Regular school,1-Yes,470,242,228,11,1,424,4,20,3,7,175,SALMON
SALMON RIVER HIGH SCHOOL,New York,NY ,Franklin County,http://www.srk12.org,5183586620,1-Regular school,1-Yes,476,241,235,10,1,141,1,4,="0",319,341,FORT COVINGTON
SALMON RIVER JR/SR HIGH SCHOOL,Idaho,ID ,Idaho County,†,2086283431,1-Regular school,1-Yes,65,34,31,1,="0",62,="0",2,="0",="0",25,RIGGINS
SALOME HIGH SCHOOL,Arizona,AZ ,La Paz County,†,9288593453,1-Regular school,1-Yes,123,73,50,1,2,43,="0",76,="0",1,93,Salome
SALT FORK HIGH SCHOOL,ILLINOIS,IL ,Vermilion County,†,2174275331,1-Regular school,1-Yes,261,136,125,2,†,253,1,5,†,†,99,Catlin
SALT LAKE CENTER FOR SCIENCE EDUCATION,Utah,UT ,Salt Lake County,http://slcse.slcschools.org,8015788226,1-Regular school,1-Yes,395,214,181,18,9,185,17,157,9,="0",178,SALT LAKE CITY
SALT LAKE SCHOOL FOR THE PERFORMING ARTS,Utah,UT ,Salt Lake County,http://www.saltlakespa.org,8014666700,1-Regular school,1-Yes,287,93,194,15,3,240,8,17,1,3,56,SALT LAKE CITY
SALT RIVER ACCELERATED LEARNING ACADEMY,Arizona,AZ ,Maricopa County,†,4803622000,1-Regular school,1-Yes,77,34,43,="0",="0",1,="0",5,="0",71,25,SCOTTSDALE
SALT RIVER HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,4803622000,1-Regular school,1-Yes,234,119,115,="0",="0",="0",="0",26,="0",208,118,SCOTTSDALE
SALTILLO HIGH SCHOOL,Mississippi,MS ,Lee County,http://www.leecountyschools.us/schools/saltillo-high-school,6628695466,1-Regular school,1-Yes,949,483,466,13,†,803,113,14,6,†,543,SALTILLO
SALTILLO SCHOOL,Texas,TX ,Hopkins County,http://www.saltilloisd.net,9035372386,1-Regular school,1-Yes,241,125,116,6,="0",168,6,61,="0",="0",165,SALTILLO
SALTSBURG MS/HS,Pennsylvania,PA ,Indiana County,†,7246393547,1-Regular school,1-Yes,283,153,130,1,="0",277,2,2,1,="0",122,Saltsburg
SALUDA HIGH,South Carolina,SC ,Saluda County,†,8644453011,1-Regular school,1-Yes,615,338,277,5,="0",249,166,191,2,2,437,Saluda
SAM BARLOW HIGH SCHOOL,Oregon,OR ,Multnomah County,http://sbhs.gresham.k12.or.us/,5032584850,1-Regular school,1-Yes,1621,828,792,100,7,1093,22,337,45,16,615,Gresham
SAM HOUSTON H S,Texas,TX ,Tarrant County,†,6828678200,1-Regular school,1-Yes,3687,1931,1756,27,3,144,683,2670,149,11,3240,ARLINGTON
SAM HOUSTON HIGH SCHOOL,Louisiana,LA ,Calcasieu Parish,†,3372174480,1-Regular school,1-Yes,1268,652,616,18,†,1041,134,54,15,6,330,Lake Charles
SAM RAYBURN H S,Texas,TX ,Harris County,†,7134773601,1-Regular school,1-Yes,2681,1396,1285,9,="0",139,72,2447,8,6,2388,PASADENA
SAMMAMISH SENIOR HIGH,Washington,WA ,King County,†,4254567600,1-Regular school,1-Yes,1213,625,587,101,4,557,69,233,245,3,373,Bellevue
SAMPSON EARLY COLLEGE HIGH,North Carolina,NC ,Sampson County,http://www.sampson.k12.nc.us/sechs,9109004046,1-Regular school,1-Yes,263,105,158,11,="0",70,34,145,1,2,260,Clinton
SAMSON HIGH SCHOOL,Alabama,AL ,Geneva County,†,3348982371,1-Regular school,1-Yes,194,102,92,3,="0",149,20,22,="0",="0",113,Samson
SAMUEL CLEMENS H S,Texas,TX ,Guadalupe County,http://www.scuc.txed.net/SamuelClemens.cfm,2109456501,1-Regular school,1-Yes,2631,1350,1281,122,5,1086,288,1052,68,10,662,SCHERTZ
SAMUEL EVERETT SCHOOL OF INNOVATION,TENNESSEE,TN ,Blount County,http://www.blountk12.org,8659849420,1-Regular school,1-Yes,169,106,63,10,="0",151,3,5,="0",="0",–,Maryville
SAMUEL W. WOLFSON HIGH SCHOOL,Florida,FL ,Duval County,http://www.duvalschools.org/wolfson,9047395265,1-Regular school,1-Yes,721,343,378,31,2,192,330,122,41,3,306,JACKSONVILLE
SAMUELI ACADEMY,CALIFORNIA,CA ,Orange County,http://www.samueliacademy.org/,7146190245,1-Regular school,1-Yes,529,256,273,15,†,47,2,443,22,†,346,Santa Ana
SAN ANGELO STATE SCHOOL,Texas,TX ,Tom Green County,†,3254654391,1-Regular school,1-Yes,4,1,3,="0",="0",2,1,1,="0",="0",="0",WATER VALLEY
SAN AUGUSTINE H S,Texas,TX ,San Augustine County,http://www.saisd.us,9362759603,1-Regular school,1-Yes,370,187,183,17,="0",83,187,81,2,="0",322,SAN AUGUSTINE
SAN BENITO H S,Texas,TX ,Cameron County,†,9563616500,1-Regular school,1-Yes,2132,1058,1074,4,="0",13,2,2112,1,="0",1812,SAN BENITO
SAN BENITO HIGH,California,CA ,San Benito County,http://www.sbhsd.k12.ca.us,8316375831,1-Regular school,1-Yes,3005,1583,1422,63,4,634,10,2203,83,8,1755,Hollister
SAN BERNARDINO COUNTY SPECIAL EDUCATION,California,CA ,San Bernardino County,http://www.sbcss.k12.ca.us/sbcss,9093878511,2-Special education school,1-Yes,1388,983,405,92,7,289,221,704,56,19,988,San Bernardino
SAN BERNARDINO HIGH,California,CA ,San Bernardino County,†,9098818217,1-Regular school,1-Yes,1593,820,773,22,1,61,147,1343,15,4,1457,San Bernardino
SAN CARLOS HIGH SCHOOL,Arizona,AZ ,Gila County,†,9284752315,1-Regular school,1-Yes,278,134,144,="0",="0",1,1,="0",="0",276,–,San Carlos
SAN CARLOS UNIFIED SCHOOL DISTRICT #20 ALTERNATIVE CENTER,Arizona,AZ ,Gila County,†,9284752315,1-Regular school,1-Yes,85,43,42,="0",="0",="0",="0",="0",="0",85,47,San Carlos
SAN CLEMENTE HIGH,California,CA ,Orange County,http://www.sctritons.com/,9494924165,1-Regular school,1-Yes,3012,1598,1414,205,6,1885,28,795,83,10,780,San Clemente
SAN DIEGO BUSINESS/LEADERSHIP,California,CA ,San Diego County,http://biz.sdhs.sandi.net,6195257461,1-Regular school,1-Yes,531,290,241,13,†,27,32,456,3,†,435,San Diego
SAN DIEGO COUNTY SPECIAL EDUCATION,California,CA ,San Diego County,http://www.sdcoe.net,8582923774,2-Special education school,1-Yes,36,22,14,="0",="0",4,1,27,3,1,6,San Diego
SAN DIEGO H S,Texas,TX ,Duval County,http://www.sdisd.us,3612793382,1-Regular school,1-Yes,387,213,174,="0",="0",5,1,381,="0",="0",277,SAN DIEGO
SAN DIEGO INTERNATIONAL STUDIES,California,CA ,San Diego County,http://is.sdhs.sandi.net,6195257464,1-Regular school,1-Yes,1239,537,702,86,1,330,74,711,35,2,637,San Diego
SAN DIEGO NEIGHBORHOOD HOMESCHOOLS,CALIFORNIA,CA ,San Diego County,http://www.sdnh.org,7602951117,1-Regular school,1-Yes,141,78,63,5,†,38,3,95,†,†,87,Oceanside
SAN DIEGO SCIENCE AND TECHNOLOGY,California,CA ,San Diego County,http://sandi.net/sdhsscitech/,6195257459,1-Regular school,1-Yes,773,464,309,34,†,43,69,602,23,2,610,San Diego
SAN DIEGO SCPA,California,CA ,San Diego County,http://www.scpa.sandi.net,6194700555,1-Regular school,1-Yes,1429,456,973,133,5,208,157,592,331,3,779,San Diego
SAN DIEGO VIRTUAL,CALIFORNIA,CA ,San Diego County,†,6197137271,1-Regular school,1-Yes,366,177,189,31,6,118,17,176,15,3,241,San Diego
SAN DIEGO WORKFORCE INNOVATION HIGH,CALIFORNIA,CA ,San Diego County,http://www.innovationsandiego.org,6194324690,1-Regular school,1-Yes,2196,1098,1098,112,11,465,124,1436,38,10,1614,National City
SAN DIEGUITO HS ACADEMY,California,CA ,San Diego County,†,7607531121,1-Regular school,1-Yes,1850,961,889,72,1,1293,2,387,87,8,269,Encinitas
SAN DIMAS HIGH,California,CA ,Los Angeles County,†,9099718230,1-Regular school,1-Yes,1335,704,631,99,2,352,55,711,110,6,495,San Dimas
SAN ELIZARIO H S,Texas,TX ,El Paso County,http://seisdsehs.ss4.sharpschool.com/,9158723970,1-Regular school,1-Yes,1062,582,480,="0",="0",7,1,1053,="0",1,968,SAN ELIZARIO
SAN FERNANDO SENIOR HIGH,California,CA ,Los Angeles County,http://www.lausd.k12.ca.us/San_Fernando_HS,8188987600,1-Regular school,1-Yes,2080,1026,1054,7,1,31,33,1987,16,5,1848,San Fernando
SAN GABRIEL HIGH,California,CA ,Los Angeles County,http://www.ausd.us,6269436810,1-Regular school,1-Yes,2032,1033,999,66,†,22,9,689,1237,9,1551,San Gabriel
SAN GORGONIO HIGH,California,CA ,San Bernardino County,†,9093886524,1-Regular school,1-Yes,1881,956,925,29,9,118,223,1408,84,10,1658,San Bernardino
SAN ISIDRO H S,Texas,TX ,Starr County,†,9564813110,1-Regular school,1-Yes,70,40,30,="0",="0",="0",="0",70,="0",="0",45,SAN ISIDRO
SAN JACINTO HIGH,California,CA ,Riverside County,http://www.sanjacinto.k12.ca.us,9516547374,1-Regular school,1-Yes,2676,1395,1281,78,18,289,210,1965,66,50,1918,San Jacinto
SAN JACINTO VALLEY ACADEMY,CALIFORNIA,CA ,Riverside County,http://sjacademy.org,9516546113,1-Regular school,1-Yes,1436,708,728,23,8,317,65,964,40,19,871,San Jacinto
SAN JOAQUIN COUNTY SPECIAL EDUCATION,California,CA ,San Joaquin County,http://sjcoe.org/specialeducation,2094689279,2-Special education school,1-Yes,668,472,196,44,3,157,62,289,108,5,140,Stockton
SAN JON HIGH,New Mexico,NM ,Quay County,http://www.sanjonschools.com/,5755762466,1-Regular school,1-Yes,30,12,18,1,="0",15,="0",12,2,="0",19,SAN JON
SAN JOSE CONSERVATION CORPS CHARTER,CALIFORNIA,CA ,Santa Clara County,http://www.sjcccharterschool.org,4084596404,1-Regular school,1-Yes,214,128,86,6,="0",3,6,187,11,1,180,San Jose
SAN JOSE HIGH,California,CA ,Santa Clara County,†,4085356320,1-Regular school,1-Yes,1054,565,489,11,7,45,22,880,87,2,756,San Jose
SAN JOSE PREPARATORY HIGH SCHOOL,Florida,FL ,Duval County,http://sanjoseacademy.org,9044251725,1-Regular school,1-Yes,223,119,104,13,="0",117,38,48,6,1,103,JACKSONVILLE
SAN JUAN CHOICES CHARTER,California,CA ,Sacramento County,http://www.choicescharter.org,9169798378,1-Regular school,1-Yes,279,137,142,14,2,176,27,51,9,†,134,Sacramento
SAN JUAN HIGH,California,CA ,Sacramento County,†,9169715112,1-Regular school,1-Yes,620,328,292,32,4,234,76,252,17,5,469,Citrus Heights
SAN JUAN HIGH,Utah,UT ,San Juan County,http://www.sanjuanschools.org/schools/sjh/default.aspx,4356781301,1-Regular school,1-Yes,404,200,204,7,1,206,="0",19,4,167,405,BLANDING
SAN JUAN HILLS HIGH,California,CA ,Orange County,http://www.sjhhs.org,9492345900,1-Regular school,1-Yes,2671,1343,1328,135,5,1481,16,871,156,7,754,San Juan Capistrano
SAN LEANDRO HIGH,California,CA ,Alameda County,†,5106184600,1-Regular school,1-Yes,2652,1341,1311,99,28,215,402,1227,676,5,1547,San Leandro
SAN LORENZO HIGH,California,CA ,Alameda County,†,5103173000,1-Regular school,1-Yes,1349,711,638,29,23,69,190,830,203,5,883,San Lorenzo
SAN LORENZO VALLEY HIGH,California,CA ,Santa Cruz County,http://www.slvusd.org,8313354425,1-Regular school,1-Yes,737,379,358,71,†,544,4,100,15,3,165,Felton
SAN LUIS COUNTY SPECIAL EDUCATION,California,CA ,San Luis Obispo County,http://www.slocoe.org,8057827340,2-Special education school,1-Yes,39,25,14,4,="0",16,="0",19,="0",="0",18,San Luis Obispo
SAN LUIS HIGH SCHOOL,Arizona,AZ ,Yuma County,†,9285024600,1-Regular school,1-Yes,2859,1445,1414,="0",="0",3,1,2853,2,="0",2344,San Luis
SAN LUIS OBISPO HIGH,California,CA ,San Luis Obispo County,†,8055964040,1-Regular school,1-Yes,1558,765,793,74,2,932,17,427,103,3,394,San Luis Obispo
SAN MANUEL HIGH SCHOOL,Arizona,AZ ,Pinal County,†,5203852337,1-Regular school,1-Yes,214,106,108,3,2,54,1,152,="0",2,149,SAN MANUEL
SAN MARCOS H S,Texas,TX ,Hays County,http://smcisd.net,5123936805,1-Regular school,1-Yes,2310,1193,1117,10,6,447,128,1684,31,4,1577,SAN MARCOS
SAN MARCOS HIGH,California,CA ,San Diego County,http://www.smusd.org,7602902200,1-Regular school,1-Yes,3439,1766,1673,3,24,1573,106,1329,379,25,1094,San Marcos
SAN MARCOS SENIOR HIGH,California,CA ,Santa Barbara County,http://www.sbunified.org,8059674581,1-Regular school,1-Yes,2043,975,1068,22,1,782,17,1135,82,4,966,Santa Barbara
SAN MARIN HIGH,California,CA ,Marin County,http://www.nusd.org,4158982121,1-Regular school,1-Yes,1135,617,518,80,2,618,17,339,76,3,272,Novato
SAN MARINO HIGH,California,CA ,Los Angeles County,http://www.sanmarinohs.org,6262997020,1-Regular school,1-Yes,1101,590,511,92,2,261,9,75,660,2,102,San Marino
SAN MATEO COUNTY SPECIAL EDUCATION,California,CA ,San Mateo County,http://www.smcoe.org,6508025588,2-Special education school,1-Yes,136,91,45,2,7,19,5,57,46,†,47,Redwood City
SAN MATEO HIGH,California,CA ,San Mateo County,http://www.sanmateohigh.org/,6505582399,1-Regular school,1-Yes,1713,858,855,398,35,57,14,727,481,1,614,San Mateo
SAN PASQUAL HIGH,California,CA ,San Diego County,http://www.sphseagles.com,7602916000,1-Regular school,1-Yes,2191,1126,1065,30,4,549,38,1444,120,6,1275,Escondido
SAN PASQUAL VALLEY HIGH,California,CA ,Imperial County,†,7605720222,1-Regular school,1-Yes,190,94,96,8,†,5,1,91,†,85,179,Winterhaven
SAN PEDRO SENIOR HIGH,California,CA ,Los Angeles County,http://www.lausd.k12.ca.us/San_Pedro_HS,3102415800,1-Regular school,1-Yes,2398,1282,1116,†,25,439,198,1593,128,15,1533,San Pedro
SAN PEDRO VALLEY HIGH SCHOOL,Arizona,AZ ,Cochise County,†,5207206700,1-Regular school,1-Yes,31,20,11,="0",="0",22,1,8,="0",="0",11,BENSON
SAN PEDRO VALLEY ONLINE ACADEMY,Arizona,AZ ,Cochise County,†,5207206700,1-Regular school,1-Yes,11,4,7,="0",1,7,="0",3,="0",="0",–,BENSON
SAN PERLITA H S,Texas,TX ,Willacy County,http://www.spisd.org,9562485250,1-Regular school,1-Yes,91,50,41,="0",="0",13,="0",78,="0",="0",73,SAN PERLITA
SAN RAFAEL HIGH,California,CA ,Marin County,http://sanrafael.srcs.org/,4154852330,1-Regular school,1-Yes,1333,698,635,8,6,368,9,886,54,2,829,San Rafael
SAN RAMON VALLEY HIGH,California,CA ,Contra Costa County,http://www.srvhs.srvusd.net,9255523000,1-Regular school,1-Yes,2094,1055,1039,143,2,1545,18,204,181,1,84,Danville
SAN SABA H S,Texas,TX ,San Saba County,http://www.san-saba.net,3253723786,1-Regular school,1-Yes,206,113,93,1,="0",100,2,102,1,="0",126,SAN SABA
SAN SIMON SCHOOL,Arizona,AZ ,Cochise County,†,5208452275,1-Regular school,1-Yes,126,65,61,1,="0",57,="0",68,="0",="0",85,San Simon
SAN TAN CHARTER SCHOOL,Arizona,AZ ,Maricopa County,†,4802220811,1-Regular school,1-Yes,998,503,495,69,3,691,38,156,32,9,–,GILBERT
SAN TAN FOOTHILLS HIGH SCHOOL,ARIZONA,AZ ,Pinal County,†,5208663500,1-Regular school,1-Yes,772,401,371,24,11,371,68,256,18,24,409,QUEEN CREEK
SAN YSIDRO HIGH,California,CA ,San Diego County,http://www.sweetwaterschools.org,6197102300,1-Regular school,1-Yes,2426,1267,1159,25,†,68,43,2204,75,11,1873,San Diego
SANBORN CENTRAL HIGH SCHOOL - 01,South Dakota,SD ,Sanborn County,http://www.sanborncentral.com,6054954183,1-Regular school,1-Yes,44,21,23,1,="0",40,="0",1,="0",2,11,Forestburg
SANBORN REGIONAL HIGH SCHOOL,New Hampshire,NH ,Rockingham County,http://www.sau17.org/schools/high-school,6036423341,1-Regular school,1-Yes,670,343,327,4,1,628,11,17,6,3,74,Kingston
SAND CREEK HIGH SCHOOL,Colorado,CO ,El Paso County,http://www.d49.org,7194951160,1-Regular school,1-Yes,1191,595,596,103,6,542,139,341,55,5,454,COLORADO SPRINGS
SAND CREEK HIGH SCHOOL,Michigan,MI ,Lenawee County,†,5174363121,1-Regular school,1-Yes,481,246,235,13,="0",435,="0",29,2,2,191,SAND CREEK
SAND POINT SCHOOL,Alaska,AK ,Aleutians East Borough,http://www.aebsd.org/,9073832393,1-Regular school,1-Yes,115,59,56,2,8,12,="0",2,10,81,3,Sand Point
SAND ROCK HIGH SCHOOL,Alabama,AL ,Cherokee County,http://www.cherokeek12.org/sr,2565234050,1-Regular school,1-Yes,799,414,385,1,1,719,1,15,="0",62,450,Sand Rock
SANDALWOOD HIGH SCHOOL,Florida,FL ,Duval County,http://www.duvalschools.org/sandalwood,9046465100,1-Regular school,1-Yes,2910,1474,1436,166,6,1165,794,542,221,16,974,JACKSONVILLE
SANDERSON HIGH,North Carolina,NC ,Wake County,http://sandersonhs.wcpss.net/,9198814800,1-Regular school,1-Yes,1902,1016,886,67,7,969,490,308,57,4,595,Raleigh
SANDERSON SCHOOLS,Texas,TX ,Terrell County,†,4323452515,1-Regular school,1-Yes,121,59,62,3,="0",43,2,70,3,="0",60,SANDERSON
SANDHOKE EARLY COLLEGE HIGH,North Carolina,NC ,Hoke County,http://shec.hcs.k12.nc.us/,9108785806,1-Regular school,1-Yes,404,167,237,34,1,121,122,97,9,20,208,Raeford
SANDIA HIGH,New Mexico,NM ,Bernalillo County,http://sandia.aps.edu,5052941511,1-Regular school,1-Yes,1776,877,899,81,1,528,37,978,68,83,722,ALBUQUERQUE
SANDOVAL SR HIGH SCHOOL,Illinois,IL ,Marion County,†,6182473361,1-Regular school,1-Yes,105,40,65,4,1,97,1,†,1,1,71,Sandoval
SANDPOINT HIGH SCHOOL,Idaho,ID ,Bonner County,†,2082633034,1-Regular school,1-Yes,999,509,490,54,2,885,1,42,11,4,195,SANDPOINT
SANDRA DAY O'CONNOR HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,6234455000,1-Regular school,1-Yes,2542,1249,1293,84,11,1882,88,329,124,24,304,Glendale
SANDS CISD,Texas,TX ,Dawson County,http://sands.esc17.net,4323534888,1-Regular school,1-Yes,253,147,106,1,="0",140,3,103,2,4,139,ACKERLY
SANDUSKY HIGH SCHOOL,Ohio,OH ,Erie County,†,4199841068,1-Regular school,1-Yes,901,439,462,147,="0",366,341,44,2,1,–,Sandusky
SANDUSKY JUNIORSENIOR HIGH SCHOOL,Michigan,MI ,Sanilac County,http://www.sandusky.k12.mi.us,8106483401,1-Regular school,1-Yes,450,230,220,1,="0",427,1,16,3,2,204,SANDUSKY
SANDWICH COMMUNITY HIGH SCHOOL,Illinois,IL ,DeKalb County,†,8157862157,1-Regular school,1-Yes,644,335,309,11,†,519,1,105,8,†,222,Sandwich
SANDWICH HIGH,Massachusetts,MA ,Barnstable County,http://www.sandwich.k12.ma.us/shs,5088884900,1-Regular school,1-Yes,642,326,316,2,1,610,5,5,13,6,–,East Sandwich
SANDY CREEK HIGH SCHOOL,Nebraska,NE ,Clay County,†,4027262151,1-Regular school,1-Yes,125,67,58,1,2,113,2,6,="0",1,51,FAIRFIELD
SANDY CREEK HIGH SCHOOL,Georgia,GA ,Fayette County,†,7709692840,1-Regular school,1-Yes,1127,593,534,53,1,187,670,176,35,5,394,Tyrone
SANDY CREEK HIGH SCHOOL,New York,NY ,Oswego County,http://www.sccs.cnyric.org,3153873445,1-Regular school,1-Yes,220,107,113,3,="0",206,4,4,2,1,115,SANDY CREEK
SANDY HIGH SCHOOL,Oregon,OR ,Clackamas County,http://www.oregontrailschools.com/Domain/83,5036688011,1-Regular school,1-Yes,1397,684,713,80,8,1057,15,199,15,23,418,Sandy
SANDY VALLEY HIGH SCHOOL,Ohio,OH ,Tuscarawas County,†,3308663339,1-Regular school,1-Yes,443,223,220,10,="0",426,3,2,2,="0",347,Magnolia
SANDY VALLEY JR/SR HIGH SCHOOL,Nevada,NV ,Clark County,†,7027235344,1-Regular school,1-Yes,154,76,78,5,3,66,5,67,7,1,154,Sandy Valley
SANFORD H CALHOUN HIGH SCHOOL,New York,NY ,Nassau County,http://www.bellmore-merrick.k12.ny.us/schools/sandord_h_calhoun_high_school,5169921300,1-Regular school,1-Yes,1224,621,603,8,2,946,30,156,77,5,162,MERRICK
SANFORD HIGH SCHOOL,Maine,ME ,York County,†,2073244050,1-Regular school,1-Yes,1026,535,491,25,†,918,23,25,29,6,526,Sanford
SANFORD JUNIOR/SENIOR HIGH SCHOOL,Colorado,CO ,Conejos County,http://www.sanfordschools.org,7192745167,1-Regular school,1-Yes,147,67,80,†,†,100,†,46,†,1,80,SANFORD
SANFORD-FRITCH H S,Texas,TX ,Hutchinson County,http://www.sfisd.net,8063970159,1-Regular school,1-Yes,209,114,95,12,="0",175,="0",20,="0",2,64,FRITCH
SANGAMON VALLEY HIGH SCHOOL,Illinois,IL ,Macon County,†,2176682392,1-Regular school,1-Yes,217,110,107,5,†,204,1,5,1,1,76,Niantic
SANGER H S,Texas,TX ,Denton County,http://sisd.sangerisd.net,9404587497,1-Regular school,1-Yes,811,423,388,26,="0",541,31,197,8,8,331,SANGER
SANGER HIGH,California,CA ,Fresno County,http://www.sanger.k12.ca.us,5595247121,1-Regular school,1-Yes,3102,1583,1519,46,10,326,43,2279,389,9,2171,Sanger
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,Colorado,CO ,Alamosa County,†,7193782321,1-Regular school,1-Yes,156,83,73,†,†,94,1,50,1,10,88,MOSCA
